巴别塔以北,看完感觉就是社会和国家的缩影，过去的过不去，未来还是会再次面对，投向哪个“延安”都一样。片中一直凸显民国的背景，到处民国国旗，幸好有个民国，可以让我们还有机会大肆讽刺来借古讽今，能过审也算一种进步吧，但就像《心迷宫》，结尾必须要加几句话,推荐
淘金汉,这样的剧本，这样的电影，任凭你们怎么说风凉话，都休想模仿出来，国产片的普通货色离它差距太大。,力荐
桃桃淘电影,即便评分再高也完全喜欢不来。我们还是太热衷主题与意义了，以至于忽视了传递主题的方式与合理性。影片为了所谓的人性深度，而刻意设计剧情和人物转折，忽视基本的人物行为轨迹，都非常让人不舒服。喜欢有深度的电影，但希望能以更巧妙的方式讲出来，而不该是现在这样。以及形式上，这不就是舞台搬演么,较差
不小可,幸好有个民国，不然借古讽今都没有抓手,推荐
心生,过去的如果就让它过去了，未来只会越来越糟！,推荐
有意识的贱民,1.库斯图里卡的癫狂、荒诞+法哈蒂的困境、冲突，而这...其实在中国这片土地上随处可见；2.追求自由的人，死了；3.愤怒的人，成了听话的牲口；4.宽容的人，成了小人；5.淳朴的人，成了恶棍；6.正面向上的人，总在行骗；7.就让我们忘掉过去吧，才能继续作为“人”活下去。,力荐
阿珂,用喜剧的方式谈悲剧，用讽刺的手法讲人性，为这个故事就值得5星,力荐
张小北,不能把开心麻花出的所有电影都粗暴地归到「喜剧」里……这种营销思路就会导致我今天观影时遇到的蜜汁尴尬……有一帮观众从开头驴棚着火就开始笑，然后一直笑到结尾枪声……我……真特么……跪了……,还行
audair,锋芒毕露，前所未见的作品，不要当作喜剧片看，剧本是真的厉害！为中国电影骄傲，我们又多了两位优秀的年轻的导演/编剧。,力荐
掉线,【C-】比夏洛特烦恼还要话剧化。完全没有填充人物之外的任何银幕内世界信息，所有的镜头都聚焦在演员身上，像在看情景喜剧，简陋的视听语言让几个本该令人触动的情节效果大减。《驴得水》用自己充分向那些“故事至上”的电影观众表达了一个真理：好剧本≠好电影,还行
颜小兽,三颗星全给任素汐，她是中国最优秀的话剧女演员，有魂。她的巴掌都像是打在我的脸上。但是，建议导演改一下职务叫摄像吧，因为您只发挥了这个功能。,还行
蜉蝣,映后主创见面特别惊讶，被拍成这样还需要导演？！完全照搬舞台剧台词，连人物站位都是舞台式，没有任何电影语言，镜头蠢到还有淡入淡出和虚化背景这样的衔接，很明显的分幕，且大大弱化了表演。全片没有同期声，配音简直灾难。（据说上映版本是同期声）。是好的剧本和演员，但还是去看话剧吧。,很差
疼。,这个笑话还真把我看哭了，惊喜之作，比夏洛特烦恼的故事高明，但电影感较弱,推荐
木卫二,后半段太糟糕了。编导像发动起来的传送带，疯狂号召观众扔石头。但最致命的是完全放大了舞台剧改编电影的缺陷，情节推动靠走，人物性格全部靠吼。我绝不是拥护电影形式的圣徒，但也确实看不下“让语言飞”的偷懒与背离。至于讽刺，荒诞和反动之类的解读，难道大家都是当了太久外宾非得要恍然大悟嘛,较差
二月鸟语,两星半，无法否认其剧本的完整和工整。但目前电影所展示出的形式，还是只适合舞台剧的呈现，这归结为做久了舞台剧的导演依然不适合拍电影，视听语言的羸弱导致剧本的很多优点难以完整呈现，人物性格不完整，剪辑也很平庸，荒诞里带着一股剧作者的愤青，演员只是剧作者的吐槽工具，只有女性完成的不错,还行
毛香菇,对人性的描写太精彩了，中国的好编剧是不是都去写话剧了。女一出色。有人嫌话剧感太重，我倒觉得没有问题，起码是好看的，总比电影感十足的烂片好看。,力荐
